Origin Country,SchengenVisas_Petitions,SchengenVisas_Given,SchengenVisas_Rejected,NonEU_Visas_Petitions,NonEU_Visas_Given,NonEU_Visas_Rejected
United Arab Emirates,1955,1736,213,664,350,311
Nigeria,1160,610,550,969,441,527
Ethiopia,352,269,77,601,461,140
Algeria,2823,1701,1113,224,90,134
Kazakhstan,3091,2853,238,2540,1800,737
Jordan,1487,1280,202,218,121,97
Turkey,4323,3756,564,3696,3278,399
Kazakhstan,2333,2251,79,2200,1990,210
Azerbaijan,2013,1944,67,2923,2110,813
Thailand,2245,2161,83,647,377,270
Lebanon,1455,1320,132,123,104,18
Serbia,91,81,8,941,935,6
Switzerland,0,0,0,32,32,0
Colombia,10,8,2,165,142,22
Brazil,3,1,2,54,54,0
Belarus,58673,58588,82,49000,48879,115
Argentina,3,3,0,107,106,0
Venezuela,7,7,0,85,85,0
Ukraine,527,431,95,170509,168543,1938
China,1217,1185,32,378,364,14
United States,214,208,4,124,121,1
Senegal,451,160,288,210,32,178
Syria,231,141,90,58,37,20
Tanzania,304,229,75,367,257,109
Qatar,1262,1068,188,284,160,123
Indonesia,1822,1794,27,1056,1020,26
 Iraq,1621,665,937,341,126,211
Armenia,4082,3744,310,1091,796,293
Belarus,48819,48785,30,56762,56656,104
Vietnam,1018,897,112,2102,1362,736
Cuba,285,248,36,41,39,0
China,212,212,0,73,70,3
United States,146,146,0,133,133,0
Russia,2865,2845,19,955,878,77
Pakistan,481,303,161,523,49,474
Egypt,2736,2185,526,479,219,259
China,4621,4440,181,750,734,13
Ukraine,1146,985,158,91132,88996,2083
Moldova,67,67,0,7152,7071,80
Malaysia,178,106,68,2477,2271,198
Brazil,24,11,12,523,520,3
Kuwait,847,707,130,168,132,36
Peru,58,38,9,104,104,0
United States,494,493,0,302,301,0
Angola,769,255,513,212,119,93
Luxembourg,0,0,0,3,3,0
Ukraine,1090,1035,54,284145,272370,11766
Ukraine,791,716,75,176778,175495,1279
Mexico,15,15,0,335,333,2
Belarus,109659,109413,238,36888,36749,120
Canada,88,88,0,51,51,0
Russia,39660,39261,391,5671,4949,721
India,6193,5906,279,4680,3022,1648
Nairobi,586,422,154,271,166,104
India,3923,2830,1078,6058,2002,4052
United States,582,555,24,220,216,1
Russia,86017,85191,800,3057,3006,36
Ukraine,486,389,96,64500,63881,613
Canada,26,25,1,28,28,0
Panama,18,17,1,51,49,2
China,10005,9025,980,2636,2275,361
China,46,46,0,0,0,0
Montenegro,0,0,0,48,48,0
South Africa,2207,1959,248,752,723,29
Morocco,874,505,365,425,172,253
Saudi Arabia,1328,1215,110,544,446,97
Russia,1883,1868,15,950,886,64
Chile,7,7,0,35,34,0
Bosnia and Herzegovina,7,6,1,120,120,0
"Korea, South",180,136,37,835,828,3
Singapore,537,503,31,149,129,20
Macedonia,1693,1002,689,502,244,249
Turkey,6424,5452,943,5285,4607,660
Australia,250,248,1,86,86,0
China,9636,8977,628,832,714,108
Taiwan,57,53,1,630,622,1
Uzbekistan,3014,2488,525,3506,2199,1306
Georgia,74,47,27,7497,7391,104
Iran,1596,1097,468,399,207,189
Israel,614,610,4,141,132,3
Albania,309,249,60,272,230,42
Japan,293,265,26,463,451,7
Canada,277,272,5,122,122,0
Tunisia,564,416,148,209,117,92
Canada,98,97,1,77,76,0
United States,198,196,1,298,298,0
New Zealand,54,54,0,48,46,0
Ukraine,353,269,80,131793,126495,5196
Serbia,19,18,1,4,4,0
